id,type,name,title,width,height,year,commonsUrl,originalUrl,thumbUrl,license,licenseUrl,artist,date,source
"1","위성/지도","Seoul, South Korea (50732566993)","File:Seoul, South Korea (50732566993).png","8554","5262","2020","https://commons.wikimedia.org/wiki/File%3ASeoul%2C_South_Korea_(50732566993).png","https://upload.wikimedia.org/wikipedia/commons/8/86/Seoul%2C_South_Korea_%2850732566993%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Seoul%2C_South_Korea_%2850732566993%29.png/960px-Seoul%2C_South_Korea_%2850732566993%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","Sentinel Hub","Taken on 18 December 2020, 07:27","search: Seoul satellite map filetype:bitmap"
"2","항공뷰","Han River aerial view","File:Han River aerial view.jpg","1110","832","2021","https://commons.wikimedia.org/wiki/File%3AHan_River_aerial_view.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7f/Han_River_aerial_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Han_River_aerial_view.jpg/960px-Han_River_aerial_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Brit in Seoul","2021-01-25 23:59:57","search: Seoul aerial view filetype:bitmap"
"3","항공뷰","View from the Sky Terrace in Seoul","File:View from the Sky Terrace in Seoul.jpg","4032","3024","2021","https://commons.wikimedia.org/wiki/File%3AView_from_the_Sky_Terrace_in_Seoul.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6e/View_from_the_Sky_Terrace_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/View_from_the_Sky_Terrace_in_Seoul.jpg/960px-View_from_the_Sky_Terrace_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Christophe95","2021-01-24 17:11:04","Category:Views from Lotte World Tower"
"4","파노라마","Seoul panorama from N Seoul Tower","File:Seoul panorama from N Seoul Tower.jpg","22579","3909","2021","https://commons.wikimedia.org/wiki/File%3ASeoul_panorama_from_N_Seoul_Tower.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d9/Seoul_panorama_from_N_Seoul_Tower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Seoul_panorama_from_N_Seoul_Tower.jpg/960px-Seoul_panorama_from_N_Seoul_Tower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","cafuego","2021-08-31 12:49:43","Category:Views from N Seoul Tower"
"5","한강 축","Cityscape of Yeouido skyscrapers and Hangang Railway Bridge 20240501113854","File:Cityscape of Yeouido skyscrapers and Hangang Railway Bridge 20240501113854.jpg","5751","3834","2024","https://commons.wikimedia.org/wiki/File%3ACityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a1/Cityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Cityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg/960px-Cityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","TurnOnTheNight","2024-05-01 11:38:54","Category:Yeouido"
"6","파노라마","Seoul city view panorama from Namsan Mountain (49174492133)","File:Seoul city view panorama from Namsan Mountain (49174492133).jpg","8192","1856","2025","https://commons.wikimedia.org/wiki/File%3ASeoul_city_view_panorama_from_Namsan_Mountain_(49174492133).jpg","https://upload.wikimedia.org/wikipedia/commons/4/4b/Seoul_city_view_panorama_from_Namsan_Mountain_%2849174492133%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Seoul_city_view_panorama_from_Namsan_Mountain_%2849174492133%29.jpg/960px-Seoul_city_view_panorama_from_Namsan_Mountain_%2849174492133%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","Matt Kieffer from London, United Kingdom","2025-10-26 01:01:39","search: Seoul panorama filetype:bitmap"
"7","파노라마","Tallest buildings 2022 whether or not FoP","File:Tallest buildings 2022 whether or not FoP.png","2902","1247","2022","https://commons.wikimedia.org/wiki/File%3ATallest_buildings_2022_whether_or_not_FoP.png","https://upload.wikimedia.org/wikipedia/commons/9/96/Tallest_buildings_2022_whether_or_not_FoP.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Tallest_buildings_2022_whether_or_not_FoP.png/960px-Tallest_buildings_2022_whether_or_not_FoP.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Original: Phoenix CZE Derivative work: Ox1997cow","2022-11-25","search: Lotte World Tower view Seoul filetype:bitmap"
"8","파노라마","Yeouido2025","File:Yeouido2025.jpg","2726","2045","2025","https://commons.wikimedia.org/wiki/File%3AYeouido2025.jpg","https://upload.wikimedia.org/wikipedia/commons/4/45/Yeouido2025.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Yeouido2025.jpg/960px-Yeouido2025.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","Kimhs5400","2025-04-23 13:34:25","Category:Yeouido"
"9","한강 축","Han River Seoul skyline Pixabay 1214950","File:Han River Seoul skyline Pixabay 1214950.jpg","5964","2912","2020","https://commons.wikimedia.org/wiki/File%3AHan_River_Seoul_skyline_Pixabay_1214950.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cc/Han_River_Seoul_skyline_Pixabay_1214950.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Han_River_Seoul_skyline_Pixabay_1214950.jpg/960px-Han_River_Seoul_skyline_Pixabay_1214950.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","USAGI_POST","2020-09-09 01:48:01","Category:Skylines in Seoul"
"10","고지대 전경","Seoul Songpagu sunset","File:Seoul Songpagu sunset.jpg","5472","1986","2021","https://commons.wikimedia.org/wiki/File%3ASeoul_Songpagu_sunset.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f1/Seoul_Songpagu_sunset.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Seoul_Songpagu_sunset.jpg/960px-Seoul_Songpagu_sunset.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","cmmellow","2021-10-03 04:09:13","search: Seoul panorama filetype:bitmap"
